title,url,views,year,image_url,content
бежевая мама,https://memepedia.ru/bezhevaya-mama/,79000,2022,https://memepedia.ru/wp-content/uploads/2025/02/scale_1200-3-360x270.jpeg,"Бежевая мама –  интернет-термин, описывающий определённый тип современных матерей, которые придерживаются минималистичного стиля. Они выбирают приглушенные бежевые или серые оттенки для интерьера, одежды и игрушек своих детей, исключая все яркое. В англоязычном сегменте этот образ называют sad beige moms (грустные бежевые мамы), намекая на чрезмерную сдержанность и однообразие их эстетики."
причина тряски,https://memepedia.ru/prichina-tryaski/,54700,2022,https://memepedia.ru/wp-content/uploads/2024/05/prichina-trjaski-memy-360x270.jpg,"Причина тряски – мемная фраза, появившаяся как риторический вопрос в политических срачах. Используется в качестве издевательского обращения к оппонентам в связи с резонансной новостью. Со временем контекст мема стерся, и фразу стали обыгрывать с помощью похожих конструкций."
бобр курва,https://memepedia.ru/bobr-kurva/,20400,2022,https://memepedia.ru/wp-content/uploads/2024/08/bobr4-360x270.jpg,"Бобр курва (Kurwa Bóbr) – мем с видео, на котором польский мужчина видит бобра и очень эмоционально на него реагирует. Фраза “курва бобр” стала использоваться по отношению к любым бобрам, а также похожим животным – нутриям, выдрам, вомбатам и тд. Также популярность набрали другие подобные польские ролики: “курва ежик”, “курва ужик” и т.д."
гусь обнимусь,https://memepedia.ru/gus-obnimus/,7700,2022,https://memepedia.ru/wp-content/uploads/2023/07/screenshot_11-1-360x270.png,"Гусь обнимусь – трендовая мягкая игрушка, большой белый гусь с желтым клювом, расправленными крыльями и висящими лапами. С гусем удобно обниматься и спать."
святая джавелина,https://memepedia.ru/svyataya-dzhavelina/,9400,2022,https://memepedia.ru/wp-content/uploads/2023/05/saintjavelin-kyiv-dtf-magazine-360x270.jpeg,"Святая Джавелина (Святой Джавелин, Saint Javelin) – мем с Мадонной, которая держит в руках противотанковый комплекс FGM-148 Javelin производства США. Относится к украинским военным мемам, служит для поднятия боевого духа и сбора донатов. Джавелин стал одним из самых известных названий оружия, используемого ЗСУ."
шаман  ярослав дронов,https://memepedia.ru/shaman-shaman-yaroslav-dronov/,9500,2022,https://memepedia.ru/wp-content/uploads/2023/04/322628555_851474195959120_1141357119574856126_n-360x270.jpg,"Шаман (SHAMAN, Ярослав Дронов) – российский певец. Прославился в 2022 году песнями “Встанем” и “Я русский”, поддержкой путинской политики и вторжения в Украину. Выступал на оккупированных территориях Украины и на митингах-концертах в Москве. Музыкальные критики называют его “голосом спецоперации”, сравнивают с другими провластными певцами – Кобзоном, Газмановым и т.д."
капибара какибара капибара,https://memepedia.ru/kapibara-kakibara-kapibara/,17500,2022,https://memepedia.ru/wp-content/uploads/2023/03/2817.ou009c.840-360x270.jpg,"Капибара, какибара (Песня про капибару) – мемный трек, который стал популярным в Тиктоке. Песню создал музыкант-любитель из Москвы Сто-Личный Она-Нас. Под этот трек люди восхищаются капибарами как милыми и добрыми животными."
эту сумку мне муж купил,https://memepedia.ru/etu-sumku-mne-muzh-kupil/,37900,2022,https://memepedia.ru/wp-content/uploads/2023/02/muzh-kupil-tik-tok-360x270.jpg,"Эту сумку мне муж купил – строчка из песни Инстасамки “За деньги да”, которая стала мемом и трендом в Тиктоке. Люди снимают видео, на которых хвастаются подарками и коверкают слова в песне."
консультант плюс,https://memepedia.ru/konsultant-plyus/,30300,2022,https://memepedia.ru/wp-content/uploads/2023/02/mem-pro-jurista-v-shapke-360x270.jpg,"Консультант Плюс – российский правовой сайт, маскотом которого является мужчина в очках и академической шапочке. Этот персонаж стал объектом абстрактных мемов в начале 2023 года."
денис чернухин,https://memepedia.ru/denis-chernuxin/,170000,2022,https://memepedia.ru/wp-content/uploads/2023/01/denis-chernuhin-dmitrij-malkin-stihi-360x270.jpg,"Денис Чернухин (Дмитрий Малкин, Денис Манцурович) – вероятный автор матерных стихов с поддержкой войны в Украине. Самое популярное стихотворение “Словно хуй дроченый в жопу пидора” стало ироничным мемом, его переделывают и пародируют."
такса с синтезатором,https://memepedia.ru/taksa-s-sintezatorom/,5600,2022,https://memepedia.ru/wp-content/uploads/2023/01/swagdog697-360x270.jpg,"Такса с синтезатором (Swagdog697, Synthesizer Dog) – тренд в Тиктоке с черной таксой в шляпе, которая “играет” на синтезаторе разные песни."
кот максвелл,https://memepedia.ru/kot-maksvell/,31700,2022,https://memepedia.ru/wp-content/uploads/2023/01/kot-dingus-mem-360x270.jpg,"Кот Максвелл (Кот Дингус, Spinning cat) – мем с 3D-котом, который покачивается и крутится в роликах Тиктока под песню The Funky Russian Train."
джеффри дамер заставляет смотреть,https://memepedia.ru/dzheffri-damer-zastavlyaet-smotret/,7000,2022,https://memepedia.ru/wp-content/uploads/2023/01/told-you-we-watch-meme-1-360x270.jpg,"Джеффри Дамер заставляет смотреть (I Told You We Are Going to Watch, Jeffrey Dahmer meme) – мем с кадром из сериала “Монстр: История Джеффри Дамера”, на котором главный герой заставляет жертву смотреть телевизор."
арген сигма,https://memepedia.ru/argen/,51500,2022,https://memepedia.ru/wp-content/uploads/2023/01/argenby-tik-tok-360x270.jpg,"Арген (Argenby, Сигма, Sigma Face) – популярный блогер из Кыргызстана, прославившийся благодаря ролика в Тиктоке с сигма-фейсом. Сигма – молчаливые, самодостаточные мужчины. Они уверены в себе и пользуются популярностью."
зуландер оборачивается,https://memepedia.ru/zulander-oborachivaetsya/,30300,2022,https://memepedia.ru/wp-content/uploads/2023/01/zulander-360x270.jpg,"Зуландер оборачивается (Zoolander stare, Zoolander turns, Zoolander and Hansel) – мем с героями фильма “Образцовый самец”. В отрывке Дерек Зуландер встречается взглядом со своим соперником Гензелом. В мемах этот эпизод под песню Who is she олицетворяет сигма-самцов, превосходство, самодовольство и неожиданные встречи."
танец уэнсдэй,https://memepedia.ru/tanec-uensdej/,32900,2022,https://memepedia.ru/wp-content/uploads/2022/12/screenshot_3-360x270.png,"Танец Уэнсдэй – фрагмент из сериала “Уэнсдэй” (Wednesday). Главная героиня в черном платье танцует на балу. Образ Уэнсдэй Аддамс и ее движения стали повторять. На видео, где она танцует, накладывают разную музыку. Самым популярным стал вариант с песней Леди Гаги Bloody Mary."
байден заглядывает в окно,https://memepedia.ru/bajden-zaglyadyvaet-v-okno/,7400,2022,https://memepedia.ru/wp-content/uploads/2022/11/bajden-v-okne-360x270.jpg,"Байден заглядывает в окно (Селфи с Байденом, Joe Biden selfie with kids) – мем с президентом США Джо Байденом, на фоне которого сфотографировались две девочки."
что будет  ноября мем с белым медведем пугает и веселит тиктокеров,https://memepedia.ru/chto-budet-27-noyabrya-mem/,34800,2022,https://memepedia.ru/wp-content/uploads/2022/11/27-nojabrja-mem-360x270.jpg,"В рунете завирусился мем про 27 ноября. Это тренд из тиктока, в котором говорящий белый медведь обещает уничтожить Землю."
месси и роналду играют в шахматы,https://memepedia.ru/messi-i-ronaldu-igrayut-v-shaxmaty/,15800,2022,https://memepedia.ru/wp-content/uploads/2022/11/messi-i-ronaldu-360x270.jpg,"Месси и Роналду играют в шахматы (Messi and Ronaldo Playing Chess) – мем с кадром из рекламы Louis Vuitton, на котором футболисты Месси и Роналду играют в шахматы на чемодане бренда."
трепещи перри,https://memepedia.ru/trepeshhi-perri/,19900,2022,https://memepedia.ru/wp-content/uploads/2022/11/fufelshmerc-mem-360x270.jpg,"Трепещи Перри (Инатор, Behold, Perry! My latest invention) – мем с кадрами из мультсериала “Финес и Ферб”, на которых доктор Фуфелшмерц показывает Перри-утконосу свои изобретения."
енот из херсона,https://memepedia.ru/enot-iz-xersona/,32600,2022,https://memepedia.ru/wp-content/uploads/2022/11/enot-herson-360x270.jpg,"Енот из Херсона – серия мемов про енота, украденного российскими военными из зоопарка в Херсоне."
легендарная финка нквд,https://memepedia.ru/legendarnaya-finka-nkvd/,95100,2022,https://memepedia.ru/wp-content/uploads/2022/11/finka-nkvd-ot-kizljarskih-masterov-360x270.jpg,"Легендарная финка НКВД – мем, высмеивающий навязчивую рекламу финских ножей. Такая реклама появилась еще в середине 2010-х годов и дожила до 2022 года. Теперь “Легенду” помещают в разные мемы, фотошопят и всячески пародируют."
